timestamp,total_customers_affected,incident_count
2026-09-05T20:35:32,5495,399
2026-09-05T21:05:32,5503,397
2026-09-05T21:35:32,4911,392
2026-09-05T22:05:32,4688,387
2026-09-05T22:20:32,4623,385
2026-09-05T22:35:32,4331,386
2026-09-06T02:35:30,3754,372
2026-09-06T03:05:30,3724,371
2026-09-06T07:35:31,3150,353
2026-09-06T08:35:30,3122,337
2026-09-06T09:35:31,3203,329
2026-09-06T10:20:30,2913,318
2026-09-06T10:50:30,2746,299
2026-09-06T11:05:30,2644,290
2026-09-06T12:20:31,2293,261
2026-09-06T13:05:30,2115,252
2026-09-06T13:50:30,2119,240
2026-09-06T14:20:30,1960,233
